Stad.;Country;Country new;Population;Reinforcements;Income;Port;Extra;rein new;Stad.,Land,Populatie,Versterkingen,Inkomen,Haven,Extra,
Khulna;Bangladesh;;1342339;10;11;;;;Khulna,Bangladesh,1342339,10,11,,,
Kigali;Rwanda;;851024;2;15;;;;Kigali,Rwanda,851024,2,15,,,
Kiltan;India: South;India;4112;1;11;X;;;Kiltan,India: South,4112,1,11,X,,
Kindu;DR Congo;;1050000;4;11;;;;Kindu,DR Congo,1050000,4,11,,,
King Cove;USA: Alaska;USA;1000;1;11;X;;;King Cove,USA: Alaska,1000,1,11,X,,
King George Airbase;Chile;;500;4;11;;;;King George Airbase,Chile,500,4,11,,,
Kingston;Jamaica;;651880;3;60;X;;;Kingston,Jamaica,651880,3,60,X,,
Kingstown;Saint Vincent and the Grenadines;;12909;1;11;X;X;;Kingstown,Saint Vincent and the Grenadines,12909,1,11,X,X,
Kinmen County;Taiwan;;153876;6;11;X;;;Kinmen County,Taiwan,153876,6,11,X,,
Kinshasa;DR Congo;;8271132;10;61;;;;Kinshasa,DR Congo,8271132,10,61,,,
Kiribati;Kiribati;;119940;1;42;X;;;Kiribati,Kiribati,119940,1,42,X,,
Kirovohrad AirBase;Ukraine;;1500;8;11;;;;Kirovohrad AirBase,Ukraine,1500,8,11,,,
Kisangani;DR Congo;;539164;7;6;;;;Kisangani,DR Congo,539164,7,6,,,
Kismayo Military base;United Arab Emirates;;2000;5;11;X;;;Kismayo Military base,United Arab Emirates,2000,5,11,X,,
Kita - Iwo;Japan;;1;1;11;X;;;Kita - Iwo,Japan,1,1,11,X,,
Kitakyushu;Japan;;917102;6;11;;;;Kitakyushu,Japan,917102,6,11,,,
Kitwe;Zambia;;515720;4;20;;X;;Kitwe,Zambia,515720,4,20,,X,
Klagenfurt am Woerthersee;Austria;;90610;5;11;;;;Klagenfurt am Woerthersee,Austria,90610,5,11,,,
Klaipeda;Lithuania;;185899;6;13;X;X;;Klaipeda,Lithuania,185899,6,13,X,X,
Knoxviille;USA: Tennessee;USA;868546;1;23;;X;;Knoxviille,USA: Tennessee,868546,1,23,,X,
Kochi;India: South;India;2119724;8;89;X;X;;Kochi,India: South,2119724,8,89,X,X,
Kolkata;India: East;India;5021458;8;112;X;;;Kolkata,India: East,5021458,8,112,X,,
Kolwezi;DR Congo;;418000;6;11;;;;Kolwezi,DR Congo,418000,6,11,,,
Konya;Türkiye;;2320241;5;11;;;;Konya,Türkiye,2320241,5,11,,,
Korsakov naval base;Russia: Central;;2000;6;11;;;;Korsakov naval base,Russia: Central,2000,6,11,,,
Kosice;Slovakia;;236563;10;11;;;;Kosice,Slovakia,236563,10,11,,,
Kosti & Rabak;Sudan;;481226;4;11;X;;;Kosti & Rabak,Sudan,481226,4,11,X,,
Kota Bharu;Malaysia;;1459994;10;11;;;;Kota Bharu,Malaysia,1459994,10,11,,,
Kota Kinabalu;Malaysia;;543765;4;21;X;X;;Kota Kinabalu,Malaysia,543765,4,21,X,X,
Kotte;Sri Lanka;;2234289;9;48;X;;;Kotte,Sri Lanka,2234289,9,48,X,,
Kovdor;Russia: North Karelia;;18820;3;47;;;;Kovdor,Russia: North Karelia,18820,3,47,,,
Kragujevac;Serbia;;147473;4;11;;;;Kragujevac,Serbia,147473,4,11,,,
Krakow;Poland;;756583;10;44;;;;Krakow,Poland,756583,10,44,,,
Krasnoyarsk;Russia: Siberia;;909341;4;57;;;;Krasnoyarsk,Russia: Siberia,909341,4,57,,,
Kristiansand;Norway;;63814;8;11;X;;;Kristiansand,Norway,63814,8,11,X,,
Kuala Lumpur;Malaysia;;4878061;10;126;X;;;Kuala Lumpur,Malaysia,4878061,10,126,X,,
Kuantan;Malaysia;;366229;5;11;X;;;Kuantan,Malaysia,366229,5,11,X,,
Kuching;Malaysia;;632505;5;24;X;;;Kuching,Malaysia,632505,5,24,X,,
Kulhudhuffushi;Maldives;;15875;1;21;X;X;;Kulhudhuffushi,Maldives,15875,1,21,X,X,
Kulob;Tajikistan;;78786;3;11;;;;Kulob,Tajikistan,78786,3,11,,,
Kumamoto;Japan;;738407;5;11;;;;Kumamoto,Japan,738407,5,11,,,
Kumasi;Ghana;;1468609;3;11;;;;Kumasi,Ghana,1468609,3,11,,,
Kunashir;Japan;;7000;1;18;X;;;Kunashir,Japan,7000,1,18,X,,
Kunming;China: Yunnan;;5604310;8;72;;;;Kunming,China: Yunnan,5604310,8,72,,,
Kuopio;Finland;;89104;5;11;;;;Kuopio,Finland,89104,5,11,,,
Kuressaare;Estonia;;14921;1;11;X;;;Kuressaare,Estonia,14921,1,11,X,,
Kutaisi;Georgia;;178338;6;11;;;;Kutaisi,Georgia,178338,6,11,,,
Kuwait City;Kuwait;;2380000;10;94;X;;;Kuwait City,Kuwait,2380000,10,94,X,,
Kuwait Military base;Bangladesh;;150;7;20;;;;Kuwait Military base,Bangladesh,150,7,20,,,
Kyiv;Ukraine;;3475000;10;58;X;;;Kyiv,Ukraine,3475000,10,58,X,,
Kyzyl air base;Russia: Central;;1000;4;11;;;;Kyzyl air base,Russia: Central,1000,4,11,,,
Kyzylorda;Kazakhstan;;300000;3;11;;;;Kyzylorda,Kazakhstan,300000,3,11,,,
Kärdla;Estonia;;3160;4;8;X;;;Kärdla,Estonia,3160,4,8,X,,
La Ceiba;Honduras;;130281;3;11;X;;;La Ceiba,Honduras,130281,3,11,X,,
La Digue;Seychelles;;350000;1;11;;;;La Digue,Seychelles,350000,1,11,,,
La Paz;Bolivia;;812799;7;89;;;;La Paz,Bolivia,812799,7,89,,,
La Serena;Chile;;296253;6;34;X;X;;La Serena,Chile,296253,6,34,X,X,
Laayoune;Morocco;;217732;6;22;X;;;Laayoune,Morocco,217732,6,22,X,,
Labuan Air Base;Malaysia;;1500;4;11;;;;Labuan Air Base,Malaysia,1500,4,11,,,
Laghouat;Algeria;;134372;5;11;;;;Laghouat,Algeria,134372,5,11,,,
Lagos;Nigeria;;9537932;10;113;X;;;Lagos,Nigeria,9537932,10,113,X,,
Lahore;Pakistan;;6747238;8;51;;;;Lahore,Pakistan,6747238,8,51,,,
Lajing;China: Yunnan;;1400000;4;15;;X;;Lajing,China: Yunnan,1400000,4,15,,X,
Lankaran;Azerbaijan;;240300;7;11;X;;;Lankaran,Azerbaijan,240300,7,11,X,,
Lansing;USA: Michigan;USA;541297;1;16;;;;Lansing,USA: Michigan,541297,1,16,,,
Lanzarote;Spain;;100;1;11;X;;;Lanzarote,Spain,100,1,11,X,,
Lanzhou;China: Gansu;;4359000;3;84;;;;Lanzhou,China: Gansu,4359000,3,84,,,
Larisa;Greece;;144651;4;11;;;;Larisa,Greece,144651,4,11,,,
Larkano;Pakistan;;500000;7;11;;;;Larkano,Pakistan,500000,7,11,,,
Las Palmas de Gran Canaria;Spain;;378517;2;20;X;;;Las Palmas de Gran Canaria,Spain,378517,2,20,X,,
Las Vegas;USA: Nevada;USA;2265461;2;50;;;;Las Vegas,USA: Nevada,2265461,2,50,,,
Lashio;Myanmar;;131016;6;11;;;;Lashio,Myanmar,131016,6,11,,,
Latakia;Syria;;340392;6;5;X;X;;Latakia,Syria,340392,6,5,X,X,
Launceston;Australia: Victoria;;106153;1;11;X;;;Launceston,Australia: Victoria,106153,1,11,X,,
Lausanne;Switzerland;;116751;8;11;;;;Lausanne,Switzerland,116751,8,11,,,
Leeds;United Kingdom;;802105;7;11;;;;Leeds,United Kingdom,802105,7,11,,,
Leipzig;Germany;;1001220;7;55;;;;Leipzig,Germany,1001220,7,55,,,
Leon;Nicaragua;;205000;2;11;;;;Leon,Nicaragua,205000,2,11,,,
Lhasa;China: Tibet;;864736;4;9;;;;Lhasa,China: Tibet,864736,4,9,,,
Lianyungang city;China: Jiangsu;;4599360;6;11;X;;;Lianyungang city,China: Jiangsu,4599360,6,11,X,,
Liberec;Czechia;;103979;9;11;;;;Liberec,Czechia,103979,9,11,,,
Libreville;Gabon;;578156;3;28;X;;;Libreville,Gabon,578156,3,28,X,,
Liege;Belgium;;192597;8;11;;;;Liege,Belgium,192597,8,11,,,
Liepaja;Latvia;;85132;4;11;X;;;Liepaja,Latvia,85132,4,11,X,,
Lilongwe;Malawi;;597619;1;21;;;;Lilongwe,Malawi,597619,1,21,,,
Lima;Peru;;8939436;10;91;X;;;Lima,Peru,8939436,10,91,X,,
Limassol;Cyprus;;239842;1;14;X;X;;Limassol,Cyprus,239842,1,14,X,X,
Lincoln;USA: Nebraska;USA;340217;1;10;;;;Lincoln,USA: Nebraska,340217,1,10,,,
Linkoeping;Sweden;;106502;6;11;;;;Linkoeping,Sweden,106502,6,11,,,
Linz;Austria;;204846;8;11;;;;Linz,Austria,204846,8,11,,,
Lisbon;Portugal;;1064477;10;68;X;;;Lisbon,Portugal,1064477,10,68,X,,
Little Andaman;India: South;India;20135;1;11;;;;Little Andaman,India: South,20135,1,11,,,
Little Rock;USA: Arkansas;USA;738344;2;39;;;;Little Rock,USA: Arkansas,738344,2,39,,,
Liverpool;United Kingdom;;917216;8;25;X;X;;Liverpool,United Kingdom,917216,8,25,X,X,
Ljubljana;Slovenia;;272000;10;50;;;;Ljubljana,Slovenia,272000,10,50,,,
Lobito & Benguela;Angola;;358775;4;8;X;X;;Lobito & Benguela,Angola,358775,4,8,X,X,
Lodz;Poland;;768755;7;11;;;;Lodz,Poland,768755,7,11,,,
Lome;Togo;;1200000;2;12;X;X;;Lome,Togo,1200000,2,12,X,X,
London;United Kingdom;;9648110;10;300;X;;;London,United Kingdom,9648110,10,300,X,,
Long Island;The Bahamas;;3094;1;19;X;;;Long Island,The Bahamas,3094,1,19,X,,
Los Angeles;USA: California;USA;13200998;8;443;X;;;Los Angeles,USA: California,13200998,8,443,X,,
Louisville;USA: Kentucky;USA;1395634;9;60;;X;;Louisville,USA: Kentucky,1395634,9,60,,X,
Luanda;Angola;;2776432;10;75;X;;;Luanda,Angola,2776432,10,75,X,,
Lubango;Angola;;1400000;4;11;;;;Lubango,Angola,1400000,4,11,,,
Lublin;Poland;;360044;8;11;;;;Lublin,Poland,360044,8,11,,,
Lubumbashi;DR Congo;;1374808;7;18;;;;Lubumbashi,DR Congo,1374808,7,18,,,
Ludhiana;India: North West;India;1662325;6;81;;X;;Ludhiana,India: North West,1662325,6,81,,X,
Luena;Angola;;200000;3;4;;;;Luena,Angola,200000,3,4,,,
Lugano;Switzerland;;63000;8;11;;;;Lugano,Switzerland,63000,8,11,,,
Luhansk;Russia: Central;;409895;8;11;;;;Luhansk,Russia: Central,409895,8,11,,,
Luimneach;Ireland;;90509;2;11;X;;;Luimneach,Ireland,90509,2,11,X,,
Luoyang;China: Jinan;;2751400;2;78;;;;Luoyang,China: Jinan,2751400,2,78,,,
Lusaka;Zambia;;1084103;7;33;;;;Lusaka,Zambia,1084103,7,33,,,
Luxembourg;Luxembourg;;83820;10;50;;;;Luxembourg,Luxembourg,83820,10,50,,,
Luxor;Egypt;;1328429;7;18;X;X;;Luxor,Egypt,1328429,7,18,X,X,
Lviv;Ukraine;;717486;6;16;;;;Lviv,Ukraine,717486,6,16,,,
Lyon;France;;1452952;9;57;;;;Lyon,France,1452952,9,57,,,
Ma'an;Jordan;;50350;10;11;;;;Ma'an,Jordan,50350,10,11,,,
Macao;China: Guangdong;;695168;4;11;;;;Macao,China: Guangdong,695168,4,11,,,
Mackay;Australia: Queensland;;85700;1;29;X;;;Mackay,Australia: Queensland,85700,1,29,X,,
Madang;Papua New Guinea;;29339;1;16;X;;;Madang,Papua New Guinea,29339,1,16,X,,
Madeira & Porto Santo;Portugal;;105795;4;12;X;;;Madeira & Porto Santo,Portugal,105795,4,12,X,,
Madeira Island Submarine Base;Brazil: Mato Grosso;;1500;4;11;X;;;Madeira Island Submarine Base,Brazil: Mato Grosso,1500,4,11,X,,
Madison;USA: Wisconsin;USA;680796;1;67;;;;Madison,USA: Wisconsin,680796,1,67,,,
Madrid;Spain;;6791667;10;168;;;;Madrid,Spain,6791667,10,168,,,
Madurai;India: South;India;1465625;6;77;;X;;Madurai,India: South,1465625,6,77,,X,
Mafikeng;South Africa;;291527;6;11;;;;Mafikeng,South Africa,291527,6,11,,,
Magadan;Russia: Far East;;107500;2;12;X;;;Magadan,Russia: Far East,107500,2,12,X,,
Mahajanga;Madagascar;;246022;1;8;X;X;;Mahajanga,Madagascar,246022,1,8,X,X,
Mahilyow;Belarus;;369200;5;11;;;;Mahilyow,Belarus,369200,5,11,,,
Maiduguri;Nigeria;;1112449;8;11;;;;Maiduguri,Nigeria,1112449,8,11,,,
Majuro Atoll;Marshall Islands;;27797;1;76;X;;;Majuro Atoll,Marshall Islands,27797,1,76,X,,
Makassar;Indonesia;;1170200;6;22;X;;;Makassar,Indonesia,1170200,6,22,X,,
Makhachkala;Russia: South;;462412;5;35;X;;;Makhachkala,Russia: South,462412,5,35,X,,
Makin;Kiribati;;1990;1;66;X;;;Makin,Kiribati,1990,1,66,X,,
Malabo;Equatorial Guinea;;297000;1;36;X;X;;Malabo,Equatorial Guinea,297000,1,36,X,X,
Malmo;Sweden;;358020;7;32;X;X;;Malmo,Sweden,358020,7,32,X,X,
Maloelap Atoll;Marshall Islands;;682;1;23;X;X;;Maloelap Atoll,Marshall Islands,682,1,23,X,X,
Malé;Maldives;;252768;1;51;X;;;Malé,Maldives,252768,1,51,X,,
Managua;Nicaragua;;1120100;4;70;;;;Managua,Nicaragua,1120100,4,70,,,
Manama;Bahrain;;200000;10;51;X;X;;Manama,Bahrain,200000,10,51,X,X,
Manaus;Brazil: Amazon;;1700000;5;68;X;;;Manaus,Brazil: Amazon,1700000,5,68,X,,
Manchester;United Kingdom;;2791005;8;11;;;;Manchester,United Kingdom,2791005,8,11,,,
Mandalay;Myanmar;;1237028;7;14;;;;Mandalay,Myanmar,1237028,7,14,,,
Mangalore;India: South;India;724159;8;11;X;;;Mangalore,India: South,724159,8,11,X,,
Manta;Ecuador;;183166;6;11;X;;;Manta,Ecuador,183166,6,11,X,,
Maputo;Mozambique;;1844227;8;27;X;;;Maputo,Mozambique,1844227,8,27,X,,
Mar Del Plata;Argentina;;553350;7;51;X;X;;Mar Del Plata,Argentina,553350,7,51,X,X,
Maracaibo;Venezuela;;2063670;8;77;X;;;Maracaibo,Venezuela,2063670,8,77,X,,
Maracay & Valencia;Venezuela;;3139339;8;11;;;;Maracay & Valencia,Venezuela,3139339,8,11,,,
Marakei;Kiribati;;2799;1;32;X;;;Marakei,Kiribati,2799,1,32,X,,
Maribor;Slovenia;;95171;7;11;;;;Maribor,Slovenia,95171,7,11,,,
Maritime Forces Headquarters;Canada: Ontario;;5000;6;11;X;;;Maritime Forces Headquarters,Canada: Ontario,5000,6,11,X,,
Marquette;USA: Michigan;USA;67077;1;2;X;X;;Marquette,USA: Michigan,67077,1,2,X,X,
Marrakech;Morocco;;839000;7;11;;;;Marrakech,Morocco,839000,7,11,,,
Marseille;France;;826700;6;33;X;;;Marseille,France,826700,6,33,X,,
Martinique;France;;376480;2;42;X;;;Martinique,France,376480,2,42,X,,
Mary;Turkmenistan;;114680;6;11;;;;Mary,Turkmenistan,114680,6,11,,,
Maseru;Lesotho;;227880;1;13;;;;Maseru,Lesotho,227880,1,13,,,
Mashhad;Iran;;2410800;8;35;;;;Mashhad,Iran,2410800,8,35,,,
Massawa;Eritrea;;23100;2;11;;;;Massawa,Eritrea,23100,2,11,,,
Matanzas;Cuba;;146733;8;11;X;;;Matanzas,Cuba,146733,8,11,X,,
Matsu Islands;Taiwan;;12706;7;11;X;;;Matsu Islands,Taiwan,12706,7,11,X,,
Maturin;Venezuela;;410967;4;29;;X;;Maturin,Venezuela,410967,4,29,,X,
Maun;Botswana;;49459;1;11;;;;Maun,Botswana,49459,1,11,,,
Mawlamyine;Myanmar;;438861;4;7;X;;;Mawlamyine,Myanmar,438861,4,7,X,,
Mayotte;France;;700000;2;11;X;;;Mayotte,France,700000,2,11,X,,
Mazar-e Sharif;Afghanistan;;303282;1;11;;;;Mazar-e Sharif,Afghanistan,303282,1,11,,,
Mazyr;Belarus;;112457;5;11;;;;Mazyr,Belarus,112457,5,11,,,
Mbabane;Eswatini;;95000;1;17;;X;;Mbabane,Eswatini,95000,1,17,,X,
Mbarara;Uganda;;195531;2;11;;;;Mbarara,Uganda,195531,2,11,,,
Mbeya;Tanzania;;317169;1;6;;X;;Mbeya,Tanzania,317169,1,6,,X,
Mbuji-Mayi;DR Congo;;874761;8;11;;;;Mbuji-Mayi,DR Congo,874761,8,11,,,
Mecca;Saudi Arabia;;1323644;6;11;;;;Mecca,Saudi Arabia,1323644,6,11,,,
Medan;Indonesia;;2059300;7;35;X;;;Medan,Indonesia,2059300,7,35,X,,
Medelin;Colombia;;3731447;10;56;;;;Medelin,Colombia,3731447,10,56,,,
Medina & Sultanah;Saudi Arabia;;224669;7;56;;;;Medina & Sultanah,Saudi Arabia,224669,7,56,,,
Mek'ele;South Sudan;;150742;1;11;;;;Mek'ele,South Sudan,150742,1,11,,,
Melbourne;Australia: Victoria;;4206092;6;196;X;;;Melbourne,Australia: Victoria,4206092,6,196,X,,
Melilla;Spain;;84689;5;20;X;;;Melilla,Spain,84689,5,20,X,,
Memphis;USA: Tennessee;USA;1337779;1;35;X;;;Memphis,USA: Tennessee,1337779,1,35,X,,
Mendoza;Argentina;;878660;7;27;;X;;Mendoza,Argentina,878660,7,27,,X,
Menongue;Angola;;32203;6;11;;;;Menongue,Angola,32203,6,11,,,
Merida & Mucumpiz;Venezuela;;515259;6;11;;;;Merida & Mucumpiz,Venezuela,515259,6,11,,,
Mestersvig;Denmark;;200;5;11;X;;;Mestersvig,Denmark,200,5,11,X,,
Mexico City;Mexico;;21804515;10;124;;;;Mexico City,Mexico,21804515,10,124,,,
Mezen;Russia: Arkhangelsk Oblast;;3575;1;33;X;X;;Mezen,Russia: Arkhangelsk Oblast,3575,1,33,X,X,
Miami;USA: Florida;USA;6138333;8;185;X;;;Miami,USA: Florida,6138333,8,185,X,,
Michalovce;Slovakia;;40360;10;11;;;;Michalovce,Slovakia,40360,10,11,,,
Milan;Italy;;1303437;8;91;;;;Milan,Italy,1303437,8,91,,,
Military Airfields Syria;Russia: Central;;2000;4;11;;;;Military Airfields Syria,Russia: Central,2000,4,11,,,
Military Base Bholari;Pakistan;;3000;10;11;;;;Military Base Bholari,Pakistan,3000,10,11,,,
Military Base Korat;Singapore;;1500;10;11;;;;Military Base Korat,Singapore,1500,10,11,,,
Military Base Senegal;France;;450;3;10;X;;;Military Base Senegal,France,450,3,10,X,,
Military Naval Base;Pakistan;;2600;4;11;X;;;Military Naval Base,Pakistan,2600,4,11,X,,
Military Naval Base;Indonesia;;2000;7;11;;;;Military Naval Base,Indonesia,2000,7,11,,,
Military base Bahrain;Saudi Arabia;;1600;5;11;;;;Military base Bahrain,Saudi Arabia,1600,5,11,,,
Military base Cyprus;Greece;;1000;4;11;;;;Military base Cyprus,Greece,1000,4,11,,,
Military base Eritrea;United Arab Emirates;;1500;7;11;X;;;Military base Eritrea,United Arab Emirates,1500,7,11,X,,
Military base Iraq;France;;800;3;20;;;;Military base Iraq,France,800,3,20,,,
Military base Iwate;Japan;;2000;5;11;;;;Military base Iwate,Japan,2000,5,11,,,
Military base Kolkata;India: Central;India;35000;8;11;;;;Military base Kolkata,India: Central,35000,8,11,,,
Military base Madagascar;India: Central;India;500;4;10;;;;Military base Madagascar,India: Central,500,4,10,,,
Military base Niger;Italy;;254;3;10;;;;Military base Niger,Italy,254,3,10,,,
Military base Singapore;Singapore;;1000;7;20;;;;Military base Singapore,Singapore,1000,7,20,,,
Military base Tower 22;Iran;;2000;5;11;;;;Military base Tower 22,Iran,2000,5,11,,,
Military base Västernorrlands;Sweden;;1000;10;11;;;;Military base Västernorrlands,Sweden,1000,10,11,,,
Military base eastern Yemen;Saudi Arabia;;1000;5;11;X;;;Military base eastern Yemen,Saudi Arabia,1000,5,11,X,,
Military base western Yemen;Saudi Arabia;;1000;6;15;;;;Military base western Yemen,Saudi Arabia,1000,6,15,,,
Military base; Donnelly Lines;;United Kingdom;1000;2;11;;;Military base, Donnelly Lines,United Kingdom,1000,2,11,,,
Military bases Bhutan;India: Central;India;2000;7;11;;;;Military bases Bhutan,India: Central,2000,7,11,,,
Military bases Jarawa & Utkrosh;India: South;India;3000;6;11;;;;Military bases Jarawa & Utkrosh,India: South,3000,6,11,,,
Military bases Syria;Türkiye;;5000;8;11;;;;Military bases Syria,Türkiye,5000,8,11,,,
Military drone base;Iran;;1500;3;11;;;;Military drone base,Iran,1500,3,11,,,
Minami Iwo;Japan;;1;1;3;X;;;Minami Iwo,Japan,1,1,3,X,,
Mingelchaur;Azerbaijan;;95433;5;11;;;;Mingelchaur,Azerbaijan,95433,5,11,,,
Minicoy;India: South;India;12341;2;11;X;;;Minicoy,India: South,12341,2,11,X,,
Minneapolis;USA: Minnesota;USA;3690261;1;102;X;;;Minneapolis,USA: Minnesota,3690261,1,102,X,,
Minsk;Belarus;;1930700;10;43;;;;Minsk,Belarus,1930700,10,43,,,
Mirontsi;Comoros;;259100;1;10;X;X;;Mirontsi,Comoros,259100,1,10,X,X,
Mischief Reef Outposts;China: Hebei;;800;6;11;;;;Mischief Reef Outposts,China: Hebei,800,6,11,,,
Miskolc;Hungary;;172168;8;11;;;;Miskolc,Hungary,172168,8,11,,,
Misratah;Libya;;386120;6;11;X;;;Misratah,Libya,386120,6,11,X,,
Missoula;USA: Montana;USA;117922;1;5;;X;;Missoula,USA: Montana,117922,1,5,,X,
Miyako;Japan;;45625;1;7;X;;;Miyako,Japan,45625,1,7,X,,
Mogadishu;Somalia;;2388000;4;49;X;;;Mogadishu,Somalia,2388000,4,49,X,,
Mombasa;Kenya;;799400;4;17;X;;;Mombasa,Kenya,799400,4,17,X,,
Monaco;Monaco;;38300;1;50;X;X;;Monaco,Monaco,38300,1,50,X,X,
Monrovia;Liberia;;1010970;3;21;X;;;Monrovia,Liberia,1010970,3,21,X,,
Monterrey;Mexico;;3700000;10;82;;;;Monterrey,Mexico,3700000,10,82,,,
Montevideo;Uruguay;;1325968;7;98;X;;;Montevideo,Uruguay,1325968,7,98,X,,
Montgomery;USA: Alabama;USA;386047;3;65;;;;Montgomery,USA: Alabama,386047,3,65,,,
Montpelier;USA: Vermont;USA;8074;1;9;;;;Montpelier,USA: Vermont,8074,1,9,,,
Montreal;Canada: Quebec;;1620693;7;118;;;;Montreal,Canada: Quebec,1620693,7,118,,,
Montserrat;United Kingdom;;4390;1;22;;;;Montserrat,United Kingdom,4390,1,22,,,
Mopti;Mali;;108456;2;11;;;;Mopti,Mali,108456,2,11,,,
Moroni;Comoros;;111326;1;61;X;X;;Moroni,Comoros,111326,1,61,X,X,
Moscow;Russia: Central;;12382754;10;300;X;;;Moscow,Russia: Central,12382754,10,300,X,,
Mother Base;Diamond Dogs;;210;4;150;X;;;Mother Base,Diamond Dogs,210,4,150,X,,
Moundou;Chad;;135167;3;11;;;;Moundou,Chad,135167,3,11,,,
Moçâmedes;Angola;;292535;4;8;X;X;;Moçâmedes,Angola,292535,4,8,X,X,
Mtwara;Tanzania;;100626;1;3;X;;;Mtwara,Tanzania,100626,1,3,X,,
Mukalla;Yemen;;258132;4;11;X;;;Mukalla,Yemen,258132,4,11,X,,
Multan;Pakistan;;1528075;7;31;;;;Multan,Pakistan,1528075,7,31,,,
Mumbai;India: South West;India;18414288;9;212;X;;;Mumbai,India: South West,18414288,9,212,X,,
Munich;Germany;;1259677;8;250;;;;Munich,Germany,1259677,8,250,,,
Murmansk;Russia: Kola North;;307257;4;18;X;X;;Murmansk,Russia: Kola North,307257,4,18,X,X,
Muscat;Oman;;1231730;8;87;X;;;Muscat,Oman,1231730,8,87,X,,
Mutare;Zimbabwe;;184205;3;11;;;;Mutare,Zimbabwe,184205,3,11,,,
Mwanza;Tanzania;;436801;3;11;;;;Mwanza,Tanzania,436801,3,11,,,
Myeik;Myanmar;;173182;3;11;;;;Myeik,Myanmar,173182,3,11,,,
Myitkyina;Myanmar;;100000;5;11;;;;Myitkyina,Myanmar,100000,5,11,,,
Mykolaiv;Ukraine;;486267;7;11;X;;;Mykolaiv,Ukraine,486267,7,11,X,,
Myrina Naval base;Greece;;2000;8;11;X;;;Myrina Naval base,Greece,2000,8,11,X,,
Málaga;Spain;;590000;7;11;;;;Málaga,Spain,590000,7,11,,,
Mérida;Mexico;;900000;6;21;;X;;Mérida,Mexico,900000,6,21,,X,
N'dalatando;Angola;;383100;7;11;;;;N'dalatando,Angola,383100,7,11,,,
Naberezhnye Chelny;Russia: Volga;;513193;3;41;X;X;;Naberezhnye Chelny,Russia: Volga,513193,3,41,X,X,
Nacala;Mozambique;;225034;4;6;X;;;Nacala,Mozambique,225034,4,6,X,,
Naga;Philippines;;161000;4;11;X;;;Naga,Philippines,161000,4,11,X,,
Nagoya;Japan;;2243564;7;176;X;X;;Nagoya,Japan,2243564,7,176,X,X,
Nagpur;India: South West;India;2359331;7;37;;;;Nagpur,India: South West,2359331,7,37,,,
Nagpur;India: Central;India;3106000;8;11;;;;Nagpur,India: Central,3106000,8,11,,,
Nagqu;China: Tibet;;460000;2;11;;;;Nagqu,China: Tibet,460000,2,11,,,
Nairobi;Kenya;;2940911;8;70;;;;Nairobi,Kenya,2940911,8,70,,,
Najaf & Kufa;Iraq;;592576;7;11;;;;Najaf & Kufa,Iraq,592576,7,11,,,
Nakhchivan;Azerbaijan;;64754;8;11;;;;Nakhchivan,Azerbaijan,64754,8,11,,,
Nakuru;Kenya;;259903;4;11;;;;Nakuru,Kenya,259903,4,11,,,
Namangan;Uzbekistan;;432456;5;11;;;;Namangan,Uzbekistan,432456,5,11,,,
Nampula;Mozambique;;477900;2;11;;;;Nampula,Mozambique,477900,2,11,,,
Nanchang;China: Fujian;;5382162;4;101;;;;Nanchang,China: Fujian,5382162,4,101,,,
Nanjing;China: Jiangsu;;9648136;9;148;;X;;Nanjing,China: Jiangsu,9648136,9,148,,X,
Nanning;China: Guangdong;;5293359;7;67;;;;Nanning,China: Guangdong,5293359,7,67,,,
Nanortalik;Denmark;;2000;4;11;X;;;Nanortalik,Denmark,2000,4,11,X,,
Nanping city;China: Fujian;;2465548;3;11;;;;Nanping city,China: Fujian,2465548,3,11,,,
Nantes;France;;580000;6;23;X;;;Nantes,France,580000,6,23,X,,
Naples;Italy;;975139;7;68;X;;;Naples,Italy,975139,7,68,X,,
Naro Space Center;South Korea;;2000;10;20;;X;;Naro Space Center,South Korea,2000,10,20,,X,
Narva;Estonia;;66980;6;11;;;;Narva,Estonia,66980,6,11,,,
Naryan-Mar;Russia: Nenetsia West;;21658;2;32;X;X;;Naryan-Mar,Russia: Nenetsia West,21658,2,32,X,X,
Nashville;USA: Tennessee;USA;1989519;1;52;;;;Nashville,USA: Tennessee,1989519,1,52,,,
Nasiriyah;Iraq;;400249;8;11;;;;Nasiriyah,Iraq,400249,8,11,,,
Nassau;The Bahamas;;248948;1;79;X;;;Nassau,The Bahamas,248948,1,79,X,,
Naval Air Station Keflavik;USA: Virginia;USA;4000;7;11;;;;Naval Air Station Keflavik,USA: Virginia,4000,7,11,,,
Naval Station Ernesto Ogbinar;Philippines;;3500;8;11;X;;;Naval Station Ernesto Ogbinar,Philippines,3500,8,11,X,,
Navapolatsk;Belarus;;100885;5;11;;;;Navapolatsk,Belarus,100885,5,11,,,
Navoiy;Uzbekistan;;129725;6;11;;;;Navoiy,Uzbekistan,129725,6,11,,,
Navy Base Balikpapan;Indonesia;;3500;8;11;;;;Navy Base Balikpapan,Indonesia,3500,8,11,,,
Naypyidaw;Myanmar;;925000;10;11;;;;Naypyidaw,Myanmar,925000,10,11,,,
Nazret;Ethiopia;;213995;4;11;;;;Nazret,Ethiopia,213995,4,11,,,
